Game,Score,Annealing Time,Fitness Score
379,16,2.24972,0.000187
380,23,0.582298,0.000108
381,11,0.175857,7.5e-005
382,14,15.4845,0.000108
383,6,0.085189,0.000248
384,17,1.65722,0.000128
385,35,11.5171,0.00012
386,15,0.572934,0.000521
387,4,0.048504,0.00018
388,8,8.09157,3.5e-005
389,5,0.052694,0.000138
390,6,0.082407,0.000139
391,4,1.40128,0.00021
392,6,0.091525,0.000156
393,20,11.7511,6e-006
394,10,5.54465,8.9e-005
395,12,4.96324,6e-005
396,13,6.76055,9.9e-005
397,29,7.46487,2.9e-005
398,5,0.06278,0.000162
399,20,10.2059,0.000138
400,5,0.205553,1.6e-005
401,17,3.93168,6.8e-005
402,15,5.48542,4.7e-005
403,18,0.283156,0.00016
404,7,4.73138,6e-006
405,26,8.52151,2.9e-005
406,8,0.856811,4.7e-005
407,14,3.80661,0.000475
408,20,8.05596,1.5e-005
409,18,6.27351,5.5e-005
410,10,1.78208,0.000189
411,7,0.146261,4e-005
412,16,2.41729,1.6e-005
413,5,0.074404,0.000232
414,13,0.227297,4e-005
415,10,7.88271,4e-005
416,16,12.7312,0.000346
417,16,2.7219,0.00062
418,7,2.79123,0.000188
419,11,8.30483,3.8e-005
420,22,10.1385,0.000185
421,18,14.5282,9.3e-005
422,4,0.044901,0.000115
423,5,0.068181,0.000803
424,6,0.10692,8.9e-005
425,9,9.08781,0.001133
426,19,9.16225,7e-006
427,5,0.096318,9.2e-005
428,19,3.56096,9.5e-005
429,7,0.111105,0.000133
430,7,0.18383,4.9e-005
431,7,1.75086,0.000626
432,11,0.2211,0.000138
433,7,2.63572,0.000719
434,17,2.92672,2.5e-005
435,5,0.076992,0.00016
436,11,0.165919,9.3e-005
437,16,12.3955,0.000102
438,14,3.531,2.6e-005
439,4,0.056079,0.000187
440,14,9.47395,7.4e-005
441,32,9.44833,6e-005
442,39,6.35361,8e-005
443,16,6.20607,0.000142
444,7,0.101293,1e-005
445,13,6.16199,0.000239
446,15,0.96102,0.000106
447,22,7.71052,8.1e-005
448,11,2.23098,3.6e-005
449,5,0.053218,0.00018
450,17,2.07877,0.000151
451,17,4.32229,0.000118
452,24,22.568,1.9e-005
453,16,1.99685,0.00036
454,11,10.0588,4.5e-005
455,10,2.13564,5.4e-005
456,11,9.82461,2.5e-005
457,31,8.98579,0.000104
458,7,0.078214,0.000131
459,8,1.42039,3.1e-005
460,16,4.49629,7.7e-005
461,7,0.250735,0.000434
462,5,0.092592,0.000165
463,13,3.42832,0.000321
464,26,27.8855,6.2e-005
465,12,1.5129,7e-006
466,8,0.093252,6.2e-005
467,10,0.140762,0.000153
468,27,7.84102,0.000555
469,8,2.14479,0.000192
470,23,11.2383,9.2e-005
471,15,2.65551,8.6e-005
472,44,15.2154,4e-005
473,34,9.13895,5.7e-005
474,9,0.099716,0.000362
475,17,13.0183,4e-005
476,24,8.53892,6.4e-005
477,31,6.38682,0.000108
478,23,5.35057,5.6e-005
479,14,9.79841,3.2e-005
480,8,0.140439,0.000121
481,9,2.19879,6.1e-005
482,43,18.5297,6e-005
483,4,0.04108,0.000354
484,10,2.24577,5.8e-005
485,32,7.22402,4.2e-005
486,7,0.199977,0.000218
487,5,0.075355,0.000102
488,31,12.3404,2e-005
489,25,2.4641,4.1e-005
490,8,4.21786,8e-005
491,22,8.53825,5.2e-005
492,34,10.2952,0.000192
493,14,0.183702,0.000132
494,19,4.91383,4.8e-005
495,19,4.26456,0.000269
496,13,2.30117,2.8e-005
497,19,0.300992,0.000119
498,18,5.68089,0.000147
499,5,0.059006,0.000117
500,13,0.152899,2.3e-005
501,18,8.08451,4.6e-005
502,15,4.1778,8.3e-005
503,24,4.58962,4.6e-005
504,18,7.29573,2e-005
505,8,0.105156,0.000347
506,19,4.6111,0.000127
507,8,0.108286,0.000234
508,21,4.01648,0.000454
509,7,0.063702,1.8e-005
510,27,13.0098,0.000365
511,11,2.18942,3.1e-005
512,9,2.14636,0.000107
513,28,18.8524,2.7e-005
514,19,7.27106,8.2e-005
515,12,8.9824,1.1e-005
516,5,0.0525,3.3e-005
517,20,14.0083,1.3e-005
518,11,9.62903,0.000273
519,28,13.9929,2.9e-005
520,8,2.1657,0.000223
521,27,3.13725,3.5e-005
522,11,4.25093,0.000188
523,6,0.090771,5.4e-005
524,3,0.028216,0.000358
525,7,0.082519,0.000671
526,10,4.07653,5.5e-005
527,13,3.03716,0.000677
528,12,3.5268,3.4e-005
529,20,6.55544,0.000224
530,6,0.079069,1.5e-005
531,12,1.50157,9.4e-005
532,14,5.16683,1.1e-005
533,14,2.26846,1.2e-005
534,21,17.6007,7.1e-005
535,8,0.139808,9.8e-005
536,16,0.234751,3.6e-005
537,18,6.52069,4e-005
538,11,8.79121,9e-006
539,25,12.3417,1.6e-005
540,7,0.072009,0.00013
541,13,0.213033,0.000156
542,6,0.072104,0.000605
543,25,2.39321,7.3e-005
544,11,0.205735,0.000103
